Model ranking;ranking;ind;relevance;review
10;85;36;0.4891357775359087;quality radio ssb great listening ham transmissions type sync det works well unit joy use handel nyou cant go wrong kit enjoy n nto reviewer says dont make hundred dollar mistake kidding readers going find radio ssb sync detection 100 bucks get pay tecsun pl 660 looks like good unit similar features want save bucks nenjoy surfing shortwave bands n n update ended purchasing pl 660 well sony backup plus like radios ncouple things noticed tecsun n n the tuning wheel nice novelty quickly wears plus handling radio definately bump wheel switch stations happens almost every time annoying n n the sync detection works much better sony tecsun sync less effective makes loud squeal loses lock another loud squeal finally locks back in n n 2000 channel memory overkill never going use plus intuitive sony memory interface n n build quality good 660 sony edge sure n n buttons 660 recessed making hard find requires deliberate pressure n n the 660 built charger comes batteries however supplied batteries 1000mah capacity last long unit ability charge batteries internally great concept reality charging batteries series give cell even charge want use rechargables right need invest set eneloops good smart charger n ni hope helps decision chosing 2 loyal sony way choose two would pick sony large margine
11;11;24;0.4537053201122496;edited december 5 2014 n ndead three months sony replace refurbished receiver think tecsun pl 660 best larger portable sw receivers works wonderfully sony an lp1 antenna disappointed sony go wrong tecsun products n noriginal review follows n ni six shortwave receivers analog digital larger others best one let explain why n npros n n1 sony speak volumes quality already radio heavy heavy mind solid feel none radios tecsuns good radios mind none feel them n n2 reception senstivity wonderful pair sony active loop antenna recommended get pretty darn close sound quality receiver would easily cost 800 live condo like probably restrictions exterior antennas buying one higher end receivers option would best solution swl re situation n n3 speaker really good never sounds tinny read another review said volume room filling disagree used every room house never problems hearing it n ncons n n1 really read manual know lot things radio intuitive tecsun pl 660 pl 380 n n2 air band doubt many would buy sort radio listen air band enjoyed every tecsun pl 660 radios price range air band included n nin conclusion want one larger portable radio 100 200 range think d hard pressed find one better would give tecsun pl 660 would definitely bought sony first pairing radio sony loop antenna provides excellent swl experience 250 budget try tecsun pl 380 kaito ka33 loop antenna set back 80
12;32;38;0.42759544902862157;m sad tecsun pl 660 sangean cl 100 radios comparable sony 1 user friendly 2 pick signals better 3 better sound quality yes subjective ears re talking 4 cheaper make sad bought sony buying chinese radios thinking hey one sw am fm radios actually still made japan got great well good never tecsun sangean d probably think radio incomparable unless re talking actually using thing m sorry radio digital tuner mean want tune keying numbers constantly nothing wrong tuning knob tecsun pl 660 best tuning knob used bar none even hi end amplifier stereos feels good sensitive overly sensitive movement plain works surprise put tecsun sony next tuning test tecsun pl 660 flat blew sony away good thing sony flexible would say fragile antenna needed flexibility try pull stations tecsun soaked 1 hour testing am fm sw bands never moved tecsun antenna sony dancing flapping place sound quality prefer tecsun sangean sound tinny ears m talking bands types talk music etc sony sounds flat issue m sure ca make judgement long term reliability three radios yes sony name history reputation sangean tecsun long story short let say m surprised anyone rating chinese brands higher sony maybe year five something different say nupdate 12 22 12 recently purchased tecsun pl380 lo behold prefer larger brother pl 660 ssb re using am fm sw ssb good pulling stations bit easier intuitive terms user interface 1 3 size saying sony icf sw7600gr review would actually rate much cheaper tecsun pl380 higher sony icf sw7600gr terms usability ability pull stations sound quality long term build quality unknown
13;24;62;0.4248888636964155;little common sense effort radio could great however found huge disappointment first thing notice whip antenna securely attached radio moves around loosely within plastic radio housing antenna fully extended translates 4 6 inch left right thrashing digital display invisible looking radio would example radio table night stand seated position radio must tilted back must look display digits appear radio multitude slide switches notorious going open intermittent main disappointment tuning scheme used ssb mode hit correct beat note thumb wheel side radio provides frequency offset problem adjustment rotation range plus minus 5 khz course makes fine adjustment lsb usb pitch difficult range thumb wheel plus minus 1 khz rather 5 khz radio awkward use would want night stand dark dial light dim useless put money something better engineering aor
14;57;25;0.40652427810965297;second icf sw7600gr radio first one bought use weekend cabin tv even telephone internet use sony listen baseball football games day surf mostly ham bands night one stays cabin got bug listen shortwave ham home decided order second review mostly chinese options certainly nice features came making decision decided classic reliable decades old design made japan sony worth sacrifices features glad decided second sony works really well audio hifi quality plenty good enough talk radio sports tuning sw night yes set decent headphones work wonders helping pull distant signals electronic muck surrounded find ssb tuning excellent sync lock really grabs holds mw signal antenna attenuator useful local station starts overload sensitive receiver circuit wish signal mute scan ca find lot complain looking reliable am fm radio additional fun listening whole world sw ssb wo make bad choice purchasing sony
15;31;10;0.3834203969900293;main reason ordering 7600gr vs tecsun pl 660 pl 880 came sony consistent high quality numerous reports quality issues tecsun models radio may feature rich ergonomically comfortable others consistent reputation reliable bullet proof m willing spend 100 something frequent reports buggy firmware failing 6 months 2 years n ni cut swl teeth 1950 s era real radios glow dark later decades graduated excellent general coverage receiver built ham transceiver always taken continuous coverage mw sw bands given m used options like variable filters operating sony 7600 different experience n nthe 7600gr great radio every bit deserving sterling reputation lean featured portable full service desktop rig design compromises dictated low price point intended use interests lie cruising world band stations carrying radio luggage dxing picnic table park getting reliable quality 200 may radio really want explore nooks crannies spectrum chase pirates utilities number stations dig ham bands think radio pass muster d suggest spend hundred dollars desktop sdr rig budget stand good new products 450 700 range go used market n nwhat like 7600 tuning knob tune incremental steps work well except broadcasters hams pirates pick frequencies neat 5 khz steps coverage continuous gaps entire 20 meter ham band tuning ssb signals touchyt audio quality okay certainly great even even fm using headphones n nthere constraints external antenna options external antenna jack sony says use optional expensive active loop antenna jack puts dc voltage antenna antennas included roll up wire antenna clip end built in whip mw reception good enough internal loopstick directional want mw dxing additional mw antenna would inductively coupled directly connected radio unusual loop antennas would nice full range options n na thoughts n n1 expect learning curve read instructions n2 take time read radio propagation complex topic make sure expectations realistic n3 well receiver works depends much antenna system radio spend lots money feet wire make big difference built in whip n4 many us interference household stuff like computers tvs wall chargers power supplies power lines create major problems rfi radio frequency interference gotten much worse recent years outdoor antenna directional antenna like loop may help null lot rfi build buy active antennas may may help much re expensive n5 truly quiet power source batteries using plug in wall supply may let rfi noise power lines nearby appliances possibly wall supply must one make sure switching type supply regulated design n nabove fun
16;74;51;0.3636613381033042;looking radio great signal radio wanted live michigan wanted get chicago radio station able get station radio radios could
17;68;17;0.3384064512615957;see years radio production still receives high marks praise especially ham easily hold newer shortwave portables may bells whistles newer portables girl performs well shortwave ssb modes medium wave fm seem ok primarily listen shortwave tbh even miss tuning wheel one less thing wear turned brands newer models breakdowns also tuning meter needed portables found best tuning guide reading instructions playing radio functions seem intuitive one day use nit comes batteries a c adaptor little secret learned hard way never use adaptor use rechargeable batteries also cuts noise ever worry rechargeable battery swelling leaking nget still make radios quality seems high built like tank
18;40;12;0.3356341498568901;older version sony radio paid 3 times cost one turned comparison new icf sw7600gr performed older model every way personally like smaller version great radio use primarily reception weak radio station meets expectations perfectly
19;38;2;0.30784439320225593;recently gotten shortwave listening radio perfect received grundig yb300 christmas upgraded model shortly thereafter happy ever since nthe sony sw7600gr wonderful reception hooked outdoor wire antenna also helps greatly faint reception built attenuator handy cutting signal strong stations shut entirely weeker station reception love 100 station presets really one needs shortwave listening sound ok headphones superb also hooked receiver stereo via line jack sounds superb nthe dual clocks handy also use radio alarm clock wake radio morning using feature radio automatically goes sleep mode shut even forget radio month half far 4 aa batteries still going strong good battery usage also purchased ac adaptor really use fm listening adds internal hum reception negative noverall could happier introductory shortwave am fm radio great value money
20;6;7;0.1941387265486209;bought radio trying several grundig portables including yb400 grundigs cheaply made less desirable reception nfurthermore bought an lp1 loop antenna made sony must perfect set someone want pay loads money still wants satisfying swl experience love mine would recommend anyone especially travel alot like business portable powerful nfinally suprised easy learn operate buttons figured without user manual however nifty items found user manual forget read
21;1;6;0.15266002995467645;fairly new sw radios bought grunding s350 annoyed drift would tune station would slowly tune returned bought grunding yb400pe much better s350 ssb performance dismal also could lock weak signals station close powerful station n went sony 7600gr happy synchronous detection helps lot select lsb usb synchronous detection helps pesky neighbouring stations lower freq choose usb vice versa n audio quality little inferior yb400 also handy snooze button yet meet person buys sw radios audio quality alarm clock n yb400 comes ac mains power adapter sony reel antenna included both n looking radio tune weak signals provide ssb functionality synchronous detection variable attenuation drown noisy interference adio keeper
